장소명,주소명,상세페이지
금천어르신복지센터,서울특별시 금천구 범안로17길 22 (독산동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20200000075
마포구청 배움터교육장,서울특별시 마포구 월드컵로 212 (성산동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002142
서초여성가족플라자 서초센터,서울특별시 서초구 서운로26길 3 (서초동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002123
시립용산노인종합복지관,서울특별시 용산구 독서당로11길 16 (한남동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20200000077
염창지역정보센터,서울특별시 강서구 공항대로61길 50 (염창동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000113
시립강북노인종합복지관,서울특별시 강북구 삼양로92길 40 (수유동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20200000083
양천어르신종합복지관,서울특별시 양천구 목동로3길 106 (신정동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000198
염창지역정보센터,서울특별시 강서구 공항대로61길 50 (염창동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002372
시립용산노인종합복지관,서울특별시 용산구 독서당로11길 16 (한남동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002126
구립불광노인복지관,서울특별시 은평구 연서로32길 17-11 (불광동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210000813
성동구립금호도서관,서울특별시 성동구 난계로 20 (금호동1가),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210001094
